Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Real contrib
2		-0.055545	-0.034082	-0.055356	-0.017472	-0.036465	-0.026057	-0.000956	-0.013509	1.000000
3		0.002148	0.010411	0.004289	0.005746	0.005016	-0.005118	0.000185	-0.002467	1.000000
0		-0.054690	-0.030349	-0.052589	-0.008214	-0.030466	-0.027457	-0.001026	-0.014246	1.000000
1		0.005551	-0.015498	0.005808	0.005916	0.005862	-0.020961	-0.000586	-0.010777	1.000000
2		0.070526	0.039251	0.067870	0.005839	0.036945	0.037326	0.000676	0.019007	1.000000
3		-0.021387	0.006595	-0.021090	-0.003541	-0.012341	0.011092	0.000935	0.006015	1.000000
0		-0.039847	-0.004129	-0.039211	-0.017457	-0.028412	0.004959	0.005883	0.005420	1.000000
1		-0.031147	-0.007074	-0.029866	0.000358	-0.014862	-0.006449	0.004746	-0.000867	1.000000
2		0.007123	-0.011540	0.008469	0.114073	0.060893	-0.009519	0.093284	0.041744	0.900000
3		0.058712	0.019626	0.055868	-0.077788	-0.010481	0.009143	-0.085987	-0.038293	1.100000
0		0.038775	0.025479	0.037340	-0.077049	-0.019189	0.002899	-0.088632	-0.042579	1.111111
1		0.000502	0.013867	0.000537	0.166448	0.082528	0.047844	0.236853	0.141756	0.777778
2		-0.039736	-0.032004	-0.041470	-0.060643	-0.050945	-0.018950	-0.086654	-0.052590	1.111111
3		0.000677	-0.003536	0.004170	0.023532	0.013739	-0.019378	0.010543	-0.004511	1.000000
0		0.015121	-0.004272	0.015317	0.007614	0.011480	-0.012592	-0.000179	-0.006386	1.000000
1		0.031885	0.007340	0.029869	0.007576	0.018765	0.004565	0.000063	0.002314	1.000000
2		-0.046003	-0.013244	-0.045832	-0.022904	-0.034411	0.006719	0.000055	0.003387	1.000000
3		-0.001003	0.010176	0.000646	0.007714	0.004167	0.001308	0.000062	0.000685	1.000000
0		-0.014575	-0.031278	-0.015435	-0.144389	-0.079353	-0.047964	-0.153273	-0.100437	1.189189
1		-0.024804	-0.053855	-0.026231	0.041400	0.007292	-0.042503	0.022115	-0.010305	0.972973
2		-0.003895	0.026178	-0.004268	0.093745	0.044314	0.049544	0.143449	0.096335	0.864865
3		0.046080	0.068814	0.048890	0.051746	0.050305	0.057086	0.037708	0.047431	0.972973
0		-0.036811	-0.031570	-0.036740	-0.042748	-0.039737	-0.039889	-0.048334	-0.044109	1.052632
1		-0.011597	0.005979	-0.009124	0.047185	0.018964	-0.006531	0.050699	0.022065	0.947368
2		0.017699	-0.000568	0.016162	-0.045532	-0.014613	-0.007777	-0.048727	-0.028238	1.052632
3		0.032833	0.029730	0.031989	0.050904	0.041425	0.059494	0.057147	0.058321	0.947368
0		0.028003	0.027800	0.027327	0.016152	0.021755	0.032000	0.000691	0.016351	1.000000
1		0.019051	-0.013524	0.018818	0.005676	0.012266	-0.025378	-0.000724	-0.013055	1.000000
2		-0.067979	-0.041941	-0.067909	-0.034727	-0.051365	-0.027138	-0.000951	-0.014049	1.000000
3		0.020925	0.027665	0.021764	0.012899	0.017344	0.020515	0.000984	0.010753	1.000000
0		-0.066068	-0.044700	-0.064797	-0.141282	-0.103204	-0.060594	-0.162113	-0.111215	1.200000
1		0.068015	0.039269	0.064944	0.099049	0.082070	0.059931	0.109388	0.084592	0.900000
2		0.032383	0.030362	0.033935	0.101578	0.067902	0.023265	0.100960	0.062007	0.900000
3		-0.011077	-0.009027	-0.011235	-0.011026	-0.011130	-0.002163	0.005222	0.001519	1.000000
0		-0.042249	-0.022646	-0.039572	-0.003641	-0.021641	-0.035030	-0.001856	-0.018450	1.000000
1		-0.006413	-0.019569	-0.007849	0.002467	-0.002701	-0.011757	0.000177	-0.005793	1.000000
2		0.070723	0.046794	0.067857	0.003792	0.035885	0.046347	0.000830	0.023598	1.000000
3		-0.022062	-0.004579	-0.020435	-0.002619	-0.011544	0.000440	0.000849	0.000645	1.000000
0		0.044176	0.032586	0.045530	-0.020213	0.012701	0.011827	-0.016222	-0.002165	1.023256
1		-0.008802	0.003916	-0.008319	0.041419	0.016518	0.028266	0.074234	0.051197	0.930233
2		-0.030980	-0.001124	-0.029996	-0.074171	-0.052055	-0.016779	-0.099993	-0.058289	1.116279
3		-0.002615	-0.038411	-0.005769	0.069821	0.031977	-0.021140	0.063601	0.021132	0.930233
0		-0.025086	-0.027086	-0.025361	-0.013854	-0.019641	-0.032073	-0.024706	-0.028390	1.025641
1		0.056178	0.004052	0.051459	-0.013748	0.019043	0.014650	-0.024409	-0.004874	1.025641
2		0.001476	0.047167	0.003941	0.047615	0.025653	0.051786	0.081896	0.066836	0.923077
3		-0.032421	-0.019415	-0.029645	-0.015252	-0.022490	-0.029184	-0.024592	-0.026889	1.025641
0		-0.003081	0.015751	-0.003765	-0.048810	-0.026531	0.015764	-0.027319	-0.005571	1.052632
1		0.030880	-0.002769	0.030486	0.314914	0.174238	0.026956	0.268614	0.146625	0.736842
2		-0.013681	-0.007889	-0.011790	-0.070330	-0.041377	-0.026689	-0.029126	-0.027896	1.052632
3		-0.004413	-0.005385	-0.005260	-0.092091	-0.049145	-0.007222	-0.119623	-0.062883	1.157895
0		-0.050584	-0.031134	-0.048311	0.015405	-0.016522	-0.028969	0.041436	0.006131	0.952381
1		-0.004224	0.035984	-0.002230	0.028930	0.013316	0.033406	0.053886	0.043616	0.952381
2		0.030597	-0.008166	0.028414	0.054556	0.041456	0.002136	0.048548	0.025275	0.952381
3		0.020175	0.002764	0.018439	-0.082409	-0.031876	-0.005477	-0.119892	-0.062518	1.142857
0		-0.000153	0.026062	0.000235	0.009611	0.004901	0.024809	0.015053	0.019961	1.000000
1		-0.008318	0.018297	-0.006913	0.005220	-0.000875	0.024715	0.015137	0.019956	1.000000
2		0.011655	-0.030362	0.007329	-0.145838	-0.068894	-0.035583	-0.143196	-0.089053	1.181818
3		-0.006482	-0.010360	-0.002425	0.192528	0.094592	-0.009133	0.169939	0.079843	0.818182
0		-0.014894	0.029448	-0.013830	-0.011513	-0.012675	0.027065	-0.012613	0.007324	1.025641
1		0.000827	-0.034158	-0.001484	-0.019266	-0.010349	-0.024191	-0.015302	-0.019768	1.025641
2		0.005267	-0.004172	0.006172	0.153484	0.079612	0.014826	0.179113	0.096566	0.820513
3		0.008958	0.007316	0.009433	-0.083644	-0.036969	-0.013395	-0.104887	-0.058916	1.128205
0		0.027534	0.042170	0.029692	0.006354	0.018024	0.025311	0.000817	0.013068	1.000000
1		-0.016697	-0.044848	-0.018990	0.000177	-0.009407	-0.035706	-0.001464	-0.018591	1.000000
2		0.002147	-0.014568	0.001801	0.000279	0.001040	-0.017138	-0.000065	-0.008605	1.000000
3		-0.012985	0.017247	-0.012503	-0.006810	-0.009657	0.027533	0.000713	0.014128	1.000000
0		-0.032049	-0.041050	-0.031439	-0.014197	-0.022802	-0.034880	0.001507	-0.016749	1.000000
1		-0.030674	-0.011991	-0.030099	0.023594	-0.003202	-0.003169	0.094290	0.045394	0.900000
2		0.030422	-0.008791	0.028767	-0.003740	0.012483	-0.001023	0.006757	0.002854	1.000000
3		0.026576	0.055121	0.027056	-0.002998	0.012001	0.035233	-0.084659	-0.024508	1.100000
0		0.007651	-0.003676	0.007328	0.088707	0.047943	0.013883	0.092790	0.053228	0.909091
1		0.007513	0.016280	0.007841	0.095273	0.051477	0.016288	0.093300	0.054689	0.909091
2		0.013853	0.017509	0.014843	-0.079973	-0.032478	0.000598	-0.078286	-0.038736	1.090909
3		-0.026489	-0.028012	-0.027484	-0.073344	-0.050372	-0.025741	-0.076789	-0.051195	1.090909
0		-0.014294	-0.003095	-0.012830	-0.016988	-0.014904	-0.000435	-0.023095	-0.011755	1.025641
1		0.008934	0.020928	0.010281	-0.009682	0.000325	0.009742	-0.023287	-0.006758	1.025641
2		-0.009943	0.009683	-0.008019	0.051902	0.021866	0.006982	0.077244	0.042082	0.923077
3		0.014309	-0.026548	0.009766	-0.020042	-0.005100	-0.015590	-0.023137	-0.019360	1.025641
0		-0.001972	-0.021026	-0.006041	-0.183394	-0.093342	-0.038888	-0.179207	-0.107780	1.263158
1		0.018597	0.057243	0.021949	0.001822	0.012042	0.047568	-0.005229	0.021647	1.052632
2		-0.004146	-0.004715	-0.000422	0.393717	0.193592	0.045540	0.386457	0.212920	0.631579
3		-0.013743	-0.029183	-0.014447	-0.017980	-0.016186	-0.028227	-0.011597	-0.020062	1.052632
0		0.067610	0.050948	0.068445	-0.020731	0.024534	0.030787	-0.043769	-0.006369	1.052632
1		-0.059083	-0.030125	-0.058471	-0.026897	-0.042924	-0.031516	-0.042624	-0.037052	1.052632
2		0.006367	-0.024206	0.004332	-0.013783	-0.004588	-0.017515	-0.042153	-0.029793	1.052632
3		-0.018617	0.004228	-0.017881	0.076764	0.028723	0.022804	0.160682	0.091518	0.842105
0		0.011264	-0.016890	0.009195	-0.051344	-0.021096	-0.020294	-0.041244	-0.030730	1.052632
1		0.027965	0.040023	0.027966	-0.014841	0.006547	0.044720	-0.042940	0.001052	1.052632
2		0.001162	0.001452	0.002877	0.144451	0.073714	0.012229	0.157561	0.084626	0.842105
3		-0.040159	-0.024295	-0.039463	-0.049376	-0.044423	-0.034210	-0.041865	-0.038023	1.052632
0		0.031761	0.047243	0.033335	0.109120	0.070821	0.055878	0.123043	0.089280	0.888889
1		-0.024745	-0.034483	-0.025946	-0.139201	-0.081965	-0.051794	-0.187753	-0.119409	1.244444
2		0.060539	0.027762	0.059187	0.044935	0.052138	0.023083	0.033822	0.028424	0.977778
3		-0.063711	-0.029504	-0.062117	0.036333	-0.013421	-0.008757	0.102608	0.046626	0.888889
0		-0.014064	0.004987	-0.012446	0.001363	-0.005565	0.001845	0.000722	0.001284	1.000000
1		-0.029769	-0.008701	-0.029155	-0.004252	-0.016745	-0.011859	0.000042	-0.005910	1.000000
2		0.078050	0.052868	0.077494	0.006716	0.042224	0.040239	0.000655	0.020454	1.000000
3		-0.034218	-0.049154	-0.035893	-0.003827	-0.019913	-0.030225	-0.001419	-0.015827	1.000000
0		-0.009225	-0.001407	-0.008566	-0.039097	-0.023818	-0.009779	-0.041305	-0.025517	1.047619
1		0.037104	0.041006	0.037063	-0.043687	-0.003275	0.027048	-0.042497	-0.007670	1.047619
2		-0.034475	-0.024799	-0.033140	0.041860	0.004325	-0.013323	0.045718	0.016152	0.952381
3		0.003808	-0.018760	0.001794	0.049203	0.025477	-0.005674	0.046464	0.020355	0.952381
0		0.001058	-0.029571	-0.002399	0.018738	0.008175	-0.009321	0.023395	0.007022	0.975610
1		-0.059191	-0.007464	-0.059335	-0.062964	-0.061150	0.000971	-0.066450	-0.032708	1.073171
2		0.045351	0.030031	0.046741	0.026542	0.036636	0.018693	0.026419	0.022552	0.975610
3		0.018701	0.007751	0.020926	0.023980	0.022454	-0.010440	0.023281	0.006405	0.975610
0		0.017672	0.032130	0.018252	0.056121	0.037004	0.043869	0.057289	0.050571	0.947368
1		-0.073694	-0.038988	-0.072728	-0.008638	-0.040992	-0.024645	0.047950	0.011609	0.947368
2		0.023804	0.016510	0.024110	-0.011249	0.006601	0.006743	-0.047728	-0.020460	1.052632
3		0.026616	-0.010338	0.024918	-0.031485	-0.003011	-0.024045	-0.046987	-0.035502	1.052632
0		-0.011838	-0.008784	-0.012463	-0.013945	-0.013202	0.010591	-0.023057	-0.006217	1.025641
1		-0.010093	0.009553	-0.008963	0.042869	0.016886	0.006746	0.077240	0.041960	0.923077
2		0.006764	0.014913	0.006226	-0.004634	0.000810	0.013187	-0.023123	-0.004951	1.025641
3		0.014157	-0.014727	0.014304	-0.020002	-0.002806	-0.029850	-0.023336	-0.026596	1.025641
0		0.005065	0.002695	0.006233	0.129515	0.067736	0.017161	0.182640	0.099518	0.820513
1		-0.002400	0.027442	-0.002005	-0.001789	-0.001898	0.044145	-0.014815	0.014801	1.025641
2		0.047598	-0.002889	0.045642	-0.020618	0.012586	-0.016872	-0.015351	-0.016115	1.025641
3		-0.044773	-0.024282	-0.044202	-0.073822	-0.058979	-0.037275	-0.105405	-0.071182	1.128205
0		-0.003866	0.016299	-0.000749	0.110489	0.054867	0.019754	0.123995	0.071752	0.878049
1		0.018136	0.011135	0.016972	-0.053363	-0.018194	0.011667	-0.063772	-0.025964	1.073171
2		0.014430	-0.004005	0.012697	0.025125	0.018911	-0.002675	0.027162	0.012208	0.975610
3		-0.028091	-0.020829	-0.027901	-0.059878	-0.043889	-0.025397	-0.062371	-0.043841	1.073171
0		-0.007119	0.024720	-0.005683	0.085596	0.039628	0.034616	0.126772	0.080589	0.878049
1		0.033218	0.048054	0.032596	0.043892	0.038203	0.066577	0.031645	0.049151	0.975610
2		0.009390	-0.016341	0.008749	0.039231	0.023880	-0.016934	0.024561	0.003766	0.975610
3		-0.030168	-0.044967	-0.030192	-0.133466	-0.081458	-0.067331	-0.141918	-0.104539	1.170732
0		0.031396	0.028999	0.030389	0.083368	0.056803	0.041156	0.083428	0.062231	0.923077
1		-0.061150	-0.054587	-0.060053	-0.026350	-0.043249	-0.053913	-0.023615	-0.038808	1.025641
2		0.036931	0.026672	0.035323	-0.108582	-0.036425	0.010481	-0.108458	-0.048815	1.128205
3		-0.008590	-0.000946	-0.006836	0.078621	0.035771	0.005936	0.075370	0.040552	0.923077
0		-0.008765	-0.016201	-0.009979	-0.115609	-0.062788	-0.025060	-0.146557	-0.085548	1.181818
1		-0.028928	0.014877	-0.029193	-0.020023	-0.024608	0.023613	0.011185	0.017425	1.000000
2		0.039915	0.013660	0.042430	0.100263	0.071343	0.001274	0.088481	0.044690	0.909091
3		0.003300	-0.008963	0.002655	0.072054	0.037350	0.005330	0.089739	0.047354	0.909091
0		-0.040221	-0.049430	-0.041223	-0.151141	-0.095924	-0.063654	-0.153338	-0.108343	1.189189
1		-0.011270	-0.017689	-0.011756	0.125335	0.056467	0.003652	0.130608	0.066914	0.864865
2		0.047755	0.052345	0.048901	0.040547	0.044744	0.044106	0.036242	0.040187	0.972973
3		0.011421	0.023792	0.011932	0.032772	0.022303	0.030447	0.035075	0.032753	0.972973
0		0.010702	-0.033068	0.009485	0.116782	0.062997	-0.019967	0.091318	0.035309	0.900000
1		-0.037797	-0.027190	-0.038532	0.012362	-0.013150	0.002398	0.098630	0.050197	0.900000
2		0.013757	0.029060	0.014925	0.011077	0.013006	0.016132	0.015785	0.015960	1.000000
3		0.008858	0.020977	0.009347	-0.106089	-0.048224	-0.000267	-0.155615	-0.077429	1.200000
0		0.017590	-0.020192	0.013640	0.002029	0.007834	-0.001771	0.003294	0.000757	1.000000
1		-0.031040	0.016309	-0.028187	-0.065392	-0.046792	-0.008937	-0.096885	-0.052835	1.111111
2		-0.011568	-0.056972	-0.013883	-0.000253	-0.007067	-0.052488	-0.003902	-0.028237	1.000000
3		0.032025	0.066424	0.035508	0.079742	0.057628	0.072212	0.121791	0.096959	0.888889
0		-0.029633	0.007405	-0.029605	-0.036818	-0.033176	-0.007430	-0.078054	-0.042641	1.090909
1		0.057011	0.010828	0.053926	0.110059	0.081717	0.026789	0.096132	0.061361	0.909091
2		0.014863	-0.001094	0.017700	-0.065170	-0.023328	-0.018264	-0.078087	-0.048090	1.090909
3		-0.039288	-0.018401	-0.039641	0.012326	-0.013912	0.004044	0.091237	0.047516	0.909091
0		-0.013130	0.032676	-0.010401	-0.003341	-0.006874	0.025815	0.000323	0.013071	1.000000
1		-0.019596	-0.017849	-0.018571	-0.002220	-0.010403	-0.019871	-0.000606	-0.010240	1.000000
2		0.015327	-0.027862	0.010876	0.001829	0.006357	-0.012591	-0.000166	-0.006379	1.000000
3		0.017400	0.013035	0.018095	0.003731	0.010920	0.006647	0.000448	0.003548	1.000000
0		-0.033620	-0.032667	-0.029338	0.167833	0.069628	-0.038222	0.142872	0.051804	0.842105
1		0.028072	0.037139	0.027337	-0.020755	0.003198	0.034337	-0.038997	-0.002119	1.052632
2		-0.048928	-0.030239	-0.048326	-0.056203	-0.052280	-0.020597	-0.037332	-0.028916	1.052632
3		0.047753	0.019234	0.044460	-0.057309	-0.006621	0.016837	-0.037969	-0.010408	1.052632
0		0.003944	0.005143	0.003792	-0.112223	-0.054243	-0.006422	-0.109078	-0.057309	1.142857
1		0.009414	0.029516	0.010535	-0.089166	-0.039340	-0.002077	-0.109850	-0.055501	1.142857
2		-0.041172	-0.079052	-0.042970	0.165543	0.061336	-0.037205	0.130355	0.045856	0.857143
3		0.023362	0.032840	0.023868	0.102976	0.063441	0.048537	0.161548	0.104558	0.857143
0		-0.027175	-0.030919	-0.025853	-0.077364	-0.051418	-0.053633	-0.088649	-0.071119	1.100000
1		-0.006738	-0.002696	-0.006962	0.010620	0.001764	0.009377	0.002807	0.006096	1.000000
2		-0.013729	0.007510	-0.013827	0.054370	0.020019	0.016205	0.102071	0.059085	0.900000
3		0.048987	0.029948	0.047845	0.025547	0.036779	0.035035	0.002843	0.018959	1.000000
0		-0.010165	0.008239	-0.007521	0.035069	0.013740	-0.007728	0.045211	0.018703	0.952381
1		0.067666	0.020218	0.063138	0.053292	0.058223	0.039275	0.052089	0.045673	0.952381
2		-0.044159	-0.036331	-0.042713	-0.089837	-0.066238	-0.042179	-0.122412	-0.082236	1.142857
3		-0.004510	0.015140	-0.004361	0.019444	0.007523	0.019067	0.049594	0.034308	0.952381
0		0.021565	-0.019645	0.017513	0.007699	0.012621	-0.013161	0.000431	-0.006369	1.000000
1		0.045095	0.017100	0.045396	0.006108	0.025812	0.019863	0.001336	0.010605	1.000000
2		-0.041268	-0.045734	-0.039554	-0.002977	-0.021321	-0.047252	-0.002871	-0.025074	1.000000
3		-0.025392	0.048279	-0.023354	-0.010830	-0.017111	0.040550	0.001103	0.020837	1.000000
0		0.000781	0.004339	0.000892	-0.057950	-0.028470	-0.012018	-0.067112	-0.039549	1.073171
1		-0.029142	0.008283	-0.026441	0.008149	-0.009181	0.003901	0.024625	0.014257	0.975610
2		0.029348	-0.010422	0.025726	0.029123	0.027421	0.001096	0.024217	0.012650	0.975610
3		-0.001065	-0.002634	-0.000266	0.026472	0.013076	0.008223	0.024981	0.016597	0.975610
0		-0.046153	-0.022754	-0.045260	-0.043676	-0.044463	-0.025148	-0.008530	-0.016900	1.023256
1		-0.010685	0.015677	-0.008870	-0.132455	-0.071067	-0.012642	-0.160730	-0.086138	1.209302
2		-0.005242	-0.037209	-0.004702	0.178909	0.087704	-0.022317	0.143471	0.059963	0.837209
3		0.069376	0.038138	0.065549	0.059217	0.062362	0.064183	0.089208	0.076603	0.930233
0		-0.014012	-0.018300	-0.012879	-0.015481	-0.014175	-0.024040	-0.023317	-0.023679	1.025641
1		0.066409	0.019382	0.061523	-0.016556	0.022652	0.038867	-0.023374	0.007773	1.025641
2		-0.050084	-0.024990	-0.047754	-0.023695	-0.035776	-0.037843	-0.024320	-0.031087	1.025641
3		-0.002570	0.026565	-0.000989	0.061925	0.030332	0.025573	0.078902	0.052215	0.923077
0		0.046461	0.014383	0.047115	0.089183	0.068093	0.021086	0.079725	0.050390	0.923077
1		-0.031456	0.002546	-0.030006	-0.022872	-0.026449	-0.001527	-0.023906	-0.012710	1.025641
2		0.048106	0.007756	0.045838	-0.016021	0.014992	0.000567	-0.023962	-0.011691	1.025641
3		-0.058466	-0.023246	-0.058235	-0.041372	-0.049826	-0.018018	-0.023885	-0.020950	1.025641
0		-0.001980	-0.007018	-0.003654	-0.002656	-0.003158	0.003490	-0.023060	-0.009773	1.025641
1		-0.005246	-0.008391	-0.005936	0.051049	0.022378	0.005678	0.077148	0.041381	0.923077
2		-0.051682	-0.032376	-0.052459	-0.030572	-0.041584	-0.019160	-0.023112	-0.021134	1.025641
3		0.058383	0.046945	0.061455	-0.012716	0.024602	0.010560	-0.023261	-0.006336	1.025641
0		-0.017196	-0.000098	-0.017244	-0.045410	-0.031316	-0.011774	-0.066870	-0.039303	1.073171
1		0.046266	0.039679	0.049075	0.026639	0.037866	0.019017	0.026086	0.022549	0.975610
2		-0.020145	-0.033966	-0.021759	0.015558	-0.003115	-0.024193	0.021459	-0.001383	0.975610
3		-0.007206	-0.005606	-0.008347	0.007754	-0.000303	0.018127	0.026012	0.022067	0.975610
0		0.037276	0.069200	0.037994	0.093790	0.065695	0.077111	0.134355	0.105671	0.878049
1		-0.018531	-0.034096	-0.019832	-0.118796	-0.068964	-0.043395	-0.142148	-0.092665	1.170732
2		0.021662	0.000459	0.021667	0.039612	0.030576	-0.001831	0.025939	0.012024	0.975610
3		-0.032974	-0.021824	-0.032063	0.018533	-0.006944	-0.015495	0.023719	0.004070	0.975610
0		-0.026507	-0.040573	-0.025363	0.146834	0.059527	-0.019486	0.124061	0.051671	0.864865
1		0.019234	-0.005065	0.016763	-0.038416	-0.010439	-0.005080	-0.051077	-0.027881	1.081081
2		-0.031757	-0.012553	-0.031120	0.087025	0.027123	0.019062	0.138490	0.078263	0.864865
3		0.024888	0.043241	0.025840	-0.135156	-0.053528	0.004926	-0.144513	-0.069151	1.189189
0		0.048296	0.020380	0.049116	0.065253	0.057126	0.013786	0.048927	0.031338	0.952381
1		0.025570	-0.012191	0.023849	-0.031588	-0.003670	-0.023779	-0.042464	-0.033112	1.047619
2		-0.059292	-0.027473	-0.058999	-0.014548	-0.036934	-0.008041	0.045539	0.018720	0.952381
3		-0.015574	0.018638	-0.014864	-0.014507	-0.014687	0.018557	-0.043414	-0.012395	1.047619
0		0.051464	0.062300	0.052401	-0.039596	0.006360	0.046356	-0.041804	0.002360	1.047619
1		-0.051937	-0.047317	-0.051275	-0.047600	-0.049435	-0.049524	-0.042171	-0.045855	1.047619
2		0.046630	0.027985	0.044820	0.047855	0.046339	0.044128	0.053475	0.048792	0.952381
3		-0.046109	-0.044466	-0.046059	0.048060	0.001044	-0.040643	0.038898	-0.000948	0.952381
0		-0.058291	-0.052106	-0.056972	-0.048964	-0.052966	-0.058568	-0.044529	-0.051557	1.047619
1		0.052670	0.029548	0.051196	0.049011	0.050103	0.028944	0.050332	0.039626	0.952381
2		0.023754	0.032397	0.023073	-0.022962	0.000044	0.032181	-0.043319	-0.005527	1.047619
3		-0.014680	-0.007868	-0.013907	0.030108	0.008111	0.000082	0.046301	0.023166	0.952381
0		0.015493	0.022672	0.016080	-0.001783	0.007205	0.010825	-0.022752	-0.005949	1.025641
1		0.055987	0.037893	0.056281	-0.012493	0.022113	0.021041	-0.023295	-0.001108	1.025641
2		0.010702	0.021691	0.010694	0.061048	0.035711	0.031386	0.080325	0.055834	0.923077
3		-0.081112	-0.080087	-0.081985	-0.040667	-0.061458	-0.060113	-0.026245	-0.043194	1.025641
0		0.012966	0.018947	0.013244	-0.060509	-0.023629	0.013784	-0.098912	-0.042399	1.116279
1		0.018204	-0.005189	0.018597	0.075207	0.046899	-0.013554	0.065007	0.025612	0.930233
2		-0.019016	0.016013	-0.017986	0.019813	0.000912	0.017256	0.071845	0.044470	0.930233
3		-0.013407	-0.030509	-0.015004	-0.020372	-0.017687	-0.018403	-0.016507	-0.017458	1.023256
0		-0.010723	-0.071783	-0.014709	0.021404	0.003379	-0.059396	0.015591	-0.021959	0.975610
1		0.010812	0.042813	0.011947	0.013149	0.012549	0.043588	0.029137	0.036373	0.975610
2		-0.022384	0.018631	-0.018935	-0.050461	-0.034726	0.001429	-0.065382	-0.031926	1.073171
3		0.024533	0.008476	0.023591	0.020955	0.022270	0.014236	0.027192	0.020704	0.975610
0		-0.025067	-0.004472	-0.023814	-0.013320	-0.018597	-0.001769	-0.024161	-0.012960	1.025641
1		0.027219	-0.005117	0.025039	-0.013765	0.005748	-0.010881	-0.024100	-0.017487	1.025641
2		0.011827	-0.002708	0.012282	-0.009736	0.001336	-0.012069	-0.024012	-0.018038	1.025641
3		-0.015532	0.013663	-0.015009	0.040912	0.012792	0.027464	0.080303	0.053872	0.923077
0		0.006945	0.003299	0.006716	0.013241	0.009928	0.006715	-0.016545	-0.004875	1.025641
1		0.014100	-0.002137	0.013831	0.010008	0.011949	-0.006091	-0.017244	-0.011649	1.025641
2		0.002601	-0.014856	0.002246	-0.085494	-0.040938	-0.034000	-0.107504	-0.070625	1.128205
3		-0.029882	0.018975	-0.028772	0.088493	0.028944	0.045970	0.190054	0.117764	0.820513
0		-0.061191	-0.053008	-0.057401	-0.052033	-0.054716	-0.058033	-0.048519	-0.053281	1.052632
1		-0.002265	0.032999	-0.000696	0.019642	0.009477	0.021400	0.054206	0.037784	0.947368
2		0.050200	-0.002719	0.045001	0.054858	0.049931	0.011009	0.052872	0.031917	0.947368
3		0.018049	0.025756	0.017526	-0.015017	0.001249	0.028864	-0.047851	-0.009450	1.052632
0		-0.075053	-0.067469	-0.074713	-0.067108	-0.070926	-0.068563	-0.070755	-0.069657	1.081081
1		-0.006169	0.022756	-0.004649	0.024154	0.009692	0.021346	0.031329	0.026328	0.972973
2		0.046360	0.030948	0.046435	-0.067196	-0.010142	0.011997	-0.071269	-0.029552	1.081081
3		0.042807	0.020050	0.040577	0.140707	0.090432	0.046692	0.142284	0.094392	0.864865
0		-0.079073	-0.045922	-0.078355	-0.018608	-0.048584	-0.028443	0.021533	-0.003504	0.975610
1		-0.000547	-0.032077	-0.002068	0.032058	0.014936	-0.028628	0.021191	-0.003767	0.975610
2		0.026874	0.025846	0.028501	0.032404	0.030446	0.018103	0.028271	0.023177	0.975610
3		0.047951	0.047411	0.047202	-0.041686	0.002911	0.035426	-0.064541	-0.014460	1.073171
0		0.020173	0.011897	0.021467	-0.008146	0.006687	0.001578	-0.014905	-0.006632	1.025641
1		-0.046550	-0.022810	-0.046391	-0.014373	-0.030411	-0.007502	0.073463	0.032826	0.923077
2		-0.023092	0.015242	-0.022163	-0.052243	-0.037176	0.011427	-0.106831	-0.047476	1.128205
3		0.052360	-0.009037	0.049627	0.087277	0.068418	-0.008217	0.073670	0.032569	0.923077
0		0.021971	-0.018177	0.017649	-0.071145	-0.026656	-0.020365	-0.063246	-0.041682	1.081081
1		0.048557	0.047355	0.051826	0.243296	0.147362	0.068286	0.271965	0.169539	0.756757
2		-0.035476	-0.027600	-0.034872	-0.055567	-0.045198	-0.025677	-0.062841	-0.044152	1.081081
3		-0.020484	0.012628	-0.019056	-0.043595	-0.031300	-0.001758	-0.064289	-0.032843	1.081081
0		0.046593	0.041101	0.046641	-0.022618	0.012013	0.028870	-0.015200	0.006898	1.023256
1		-0.021472	-0.018091	-0.018708	0.062246	0.021767	-0.017282	0.065703	0.024092	0.930233
2		0.002093	-0.017366	-0.000134	0.062527	0.031195	0.002136	0.069868	0.035905	0.930233
3		-0.026560	-0.008129	-0.027053	-0.083244	-0.055147	-0.013842	-0.099043	-0.056321	1.116279
0		-0.077770	-0.062055	-0.076942	-0.108005	-0.092431	-0.071354	-0.115523	-0.093350	1.142857
1		0.083916	0.077366	0.083243	-0.040178	0.021703	0.063165	-0.037797	0.012886	1.047619
2		0.002928	-0.009554	0.002163	0.052368	0.027196	0.002007	0.051627	0.026717	0.952381
3		-0.002124	-0.001202	-0.001556	0.134926	0.066497	0.015707	0.142864	0.079031	0.857143
0		0.049318	0.017431	0.045926	0.086884	0.066371	0.039510	0.080719	0.060096	0.923077
1		-0.028304	-0.033595	-0.027872	-0.021862	-0.024872	-0.041040	-0.024621	-0.032838	1.025641
2		0.054423	0.061518	0.056280	-0.014474	0.020961	0.048208	-0.023220	0.012527	1.025641
3		-0.070505	-0.043610	-0.069741	-0.041860	-0.055823	-0.042728	-0.024807	-0.033775	1.025641
0		-0.010697	0.012172	-0.009322	0.008872	-0.000164	0.001760	0.030634	0.016134	0.975610
1		0.015494	0.028568	0.016588	0.007367	0.011946	0.028741	0.034458	0.031587	0.975610
2		-0.003899	-0.015843	-0.005058	-0.106245	-0.055993	-0.017016	-0.138351	-0.077419	1.170732
