Trial no.	Method 1	Method 2	Method 3	Method 4	Method 5	Method 6	Method 7	Method 8	Self inflation
207		0.000055	0.000952	0.000145	0.013072	0.006533	0.003104	0.018028	0.010519	0.274338
208		0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.256754
209		0.000702	0.002465	0.000739	0.010626	0.005639	0.004041	0.012500	0.008256	0.284262
210		0.000531	0.000893	0.000572	0.002452	0.001510	0.001324	0.002696	0.002010	0.247126
211		0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.272029
212		0.005813	0.003976	0.005712	0.012080	0.008910	0.005110	0.013364	0.009226	0.195396
213		-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.164974
214		0.000445	-0.000758	0.000362	0.004214	0.002285	0.000543	0.005405	0.002969	0.292178
215		0.000037	0.001179	0.000099	0.001190	0.000641	0.001295	0.002047	0.001671	0.168199
216		0.002426	-0.000073	0.002418	0.025921	0.014297	0.002202	0.023137	0.012569	0.088920
217		-0.001009	-0.000138	-0.000922	0.004120	0.001594	0.000274	0.005995	0.003126	0.156512
218		-0.000824	0.000909	-0.000443	0.015380	0.007431	0.001202	0.014233	0.007677	0.135002
219		0.000039	-0.000392	0.000073	0.009765	0.004905	0.001076	0.011578	0.006301	0.253468
220		0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.259998
221		-0.001431	-0.001678	-0.001429	0.000665	-0.000380	-0.000960	0.004474	0.001748	0.120054
222		0.000632	0.000525	0.000632	0.007666	0.004143	0.001257	0.007754	0.004497	0.075279
223		-0.000249	0.000242	-0.000200	0.001298	0.000547	0.000175	0.001931	0.001052	0.256347
224		-0.000316	0.000580	0.000260	0.048541	0.024026	0.006498	0.047606	0.026681	0.353067
225		-0.000931	0.000211	-0.000894	0.003838	0.001436	0.001140	0.008034	0.004576	0.154678
226		0.000058	0.000073	0.000144	0.007223	0.003686	0.000611	0.007878	0.004231	0.121566
227		0.000961	0.002754	0.001115	0.012797	0.006893	0.004602	0.017930	0.011230	0.220670
228		-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	0.211765
229		-0.000697	-0.000990	-0.000712	0.002070	0.000677	-0.000432	0.002095	0.000830	0.236081
230		0.001480	0.000187	0.001483	0.001574	0.001529	-0.000024	0.001661	0.000818	0.249350
231		-0.001401	-0.000171	-0.001362	0.001187	-0.000100	0.000481	0.002631	0.001555	0.247542
232		-0.000252	0.000239	-0.000224	0.001072	0.000422	0.000169	0.001931	0.001049	0.136983
233		0.001373	0.000742	0.001417	0.008321	0.004861	0.001790	0.011767	0.006755	0.164948
234		0.000152	0.000650	0.000255	0.005593	0.002924	0.000837	0.006253	0.003539	0.246225
235		0.001330	0.002866	0.001368	0.008813	0.005064	0.004232	0.010265	0.007242	0.237250
236		-0.000353	0.000035	-0.000294	0.006764	0.003225	0.000915	0.006681	0.003790	0.215917
237		0.001381	0.000843	0.001478	0.009171	0.005324	0.001289	0.010712	0.005980	0.237946
238		0.001921	0.002255	0.001964	0.011878	0.006898	0.003638	0.012147	0.007878	0.279615
239		-0.001120	-0.002555	-0.001194	0.008533	0.003657	-0.000426	0.012529	0.006009	0.147338
240		0.001752	0.001392	0.001769	0.004032	0.002901	0.002254	0.006074	0.004161	0.270416
241		0.000738	-0.000316	0.000595	0.005099	0.002825	0.001285	0.007807	0.004537	0.163830
242		0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.225818
243		-0.001681	-0.001633	-0.001467	0.008392	0.003481	-0.001911	0.007144	0.002590	0.147458
244		-0.001113	-0.002888	-0.001194	0.016782	0.007799	0.000708	0.018244	0.009401	0.115095
245		0.000336	0.000961	0.000301	0.003293	0.001786	0.001746	0.004768	0.003255	0.147329
246		0.002208	0.001817	0.002136	0.004492	0.003312	0.002109	0.006121	0.004112	0.134514
247		0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.258058
248		-0.000020	-0.000108	-0.000022	0.001449	0.000712	0.000300	0.001678	0.000989	0.228266
249		0.001824	-0.001537	0.001679	0.015499	0.008634	0.001019	0.015855	0.008382	0.218163
250		-0.000064	0.000664	-0.000025	0.001548	0.000758	0.000639	0.001973	0.001305	0.177171
251		0.001162	0.000360	0.001178	0.002230	0.001702	0.000527	0.001993	0.001260	0.195550
252		-0.000131	-0.000210	-0.000148	0.001276	0.000559	0.000142	0.001929	0.001035	0.151944
253		0.000430	0.000002	0.000431	0.001135	0.000783	0.000294	0.001672	0.000983	0.179449
254		0.001858	0.003435	0.001941	0.008285	0.005091	0.004098	0.010466	0.007275	0.182508
255		-0.003535	-0.003737	-0.003470	0.015072	0.005671	-0.000144	0.016740	0.008225	0.146526
256		-0.000250	-0.000161	-0.000225	0.001152	0.000459	0.000131	0.002147	0.001138	0.195103
257		0.000012	-0.000375	-0.000028	0.002180	0.001077	0.000079	0.002099	0.001087	0.175426
258		0.000863	0.000493	0.000847	0.001798	0.001323	0.000660	0.002196	0.001427	0.204229
259		0.000268	0.000542	0.000267	0.001526	0.000893	0.000785	0.002008	0.001396	0.199976
260		-0.000313	-0.000185	-0.000287	0.003535	0.001624	-0.000229	0.005358	0.002556	0.246528
261		0.000560	-0.000466	0.000473	0.001262	0.000868	-0.000036	0.001635	0.000798	0.226949
262		-0.000388	0.000342	-0.000375	0.001023	0.000320	0.000687	0.002008	0.001347	0.263004
263		-0.001559	0.001320	-0.001495	0.006562	0.002471	0.003148	0.012190	0.007654	0.295716
264		0.001198	0.000757	0.001108	0.001863	0.001485	0.000810	0.002677	0.001743	0.136149
265		0.001986	0.001571	0.001913	0.007639	0.004764	0.002868	0.007897	0.005378	0.283096
266		-0.001199	-0.001185	-0.001180	0.001042	-0.000073	-0.000886	0.001614	0.000361	0.294790
267		0.000723	-0.001177	0.000635	0.003129	0.001880	-0.000679	0.006349	0.002822	0.172729
268		0.003642	0.003552	0.003887	0.018247	0.011052	0.005121	0.020397	0.012715	0.202767
269		0.000163	-0.000621	0.000187	0.004728	0.002457	-0.000030	0.005332	0.002644	0.272788
270		0.001738	0.001139	0.001727	0.009778	0.005741	0.002381	0.010293	0.006321	0.202509
271		0.001233	0.000436	0.001148	0.002172	0.001659	0.000988	0.002018	0.001502	0.246644
272		0.000192	0.000189	0.000220	0.008403	0.004339	0.000571	0.009721	0.005126	0.106949
273		0.000575	0.000995	0.000557	0.003741	0.002136	0.001330	0.004801	0.003063	0.156395
274		-0.000712	-0.000068	-0.000730	0.002828	0.001038	0.000424	0.004622	0.002519	0.217296
275		0.000012	-0.000229	0.000005	0.001193	0.000598	0.000160	0.001648	0.000903	0.112896
276		0.000691	0.001079	0.000761	0.006155	0.003458	0.001262	0.006150	0.003700	0.121371
277		-0.000623	-0.000258	-0.000622	0.001318	0.000340	0.000450	0.001674	0.001062	0.080571
278		0.000417	-0.000352	0.000410	0.002184	0.001297	-0.000128	0.002142	0.001006	0.227544
279		0.001346	0.001957	0.001381	0.001506	0.001444	0.001804	0.001703	0.001754	0.250021
280		-0.000286	-0.000642	-0.000333	0.001403	0.000533	-0.000080	0.001655	0.000786	0.253380
281		0.004067	0.003885	0.004073	0.007475	0.005770	0.004827	0.008917	0.006869	0.223452
